City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Linjiang,CN,2021-08-14 19:14:59,41.8069,126.9078,59.22,97,6,1.3
101,Comodoro Rivadavia,AR,2021-08-14 19:14:59,-45.8667,-67.5,53.46,50,0,8.05
102,Poum,NC,2021-08-14 19:15:00,-20.2333,164.0167,68.59,63,0,14.76
103,Vila Velha,BR,2021-08-14 19:12:50,-20.3297,-40.2925,75.15,73,0,12.66
104,Jamestown,US,2021-08-14 19:15:00,42.097,-79.2353,78.12,58,75,5.99
105,Cabinda,AO,2021-08-14 19:15:01,-5.55,12.2,73.6,90,72,10.22
106,Ponta Do Sol,PT,2021-08-14 19:15:01,32.6667,-17.1,80.71,77,76,0.51
107,Toul,FR,2021-08-14 19:15:01,48.6667,5.9167,84.49,67,0,3.44
108,Harper,LR,2021-08-14 19:15:02,4.375,-7.7169,76.41,71,82,7.11
109,Petrykiv,UA,2021-08-14 19:15:03,49.5332,25.5809,67.89,61,13,5.68
110,La Serena,CL,2021-08-14 19:12:42,-29.9078,-71.2542,56.71,71,40,12.66
111,Isabela,PH,2021-08-14 19:15:04,6.7085,121.9711,79.12,84,21,5.44
112,Nome,US,2021-08-14 19:15:04,64.5011,-165.4064,48.27,87,90,14.97
113,Itoman,JP,2021-08-14 19:15:05,26.1247,127.6694,81.37,96,20,10.36
114,Puerto Ayora,EC,2021-08-14 19:15:05,-0.7393,-90.3518,78.76,75,72,10.38
115,Kendari,ID,2021-08-14 19:12:25,-3.945,122.4989,72.59,95,23,3.22
116,Qianguo,CN,2021-08-14 19:15:06,45.1171,124.8568,60.62,95,14,3.58
117,Atuona,PF,2021-08-14 19:15:06,-9.8,-139.0333,78.28,80,30,18.57
118,Pozoblanco,ES,2021-08-14 19:15:06,38.3791,-4.8483,100.98,12,53,3.89
119,Upernavik,GL,2021-08-14 19:15:06,72.7868,-56.1549,46.92,94,99,11.18
120,Lazaro Cardenas,MX,2021-08-14 19:11:56,17.9583,-102.2,86.34,70,84,4.72
121,Klaksvik,FO,2021-08-14 19:15:07,62.2266,-6.589,52.72,94,100,8.93
122,Dmitriyevka,RU,2021-08-14 19:15:07,54.75,55.3333,65.75,63,7,11.3
123,Hirado,JP,2021-08-14 19:15:08,33.3597,129.5531,77.18,82,100,20.49
124,Beringovskiy,RU,2021-08-14 19:15:08,63.05,179.3167,56.12,74,100,8.48
125,Dyersburg,US,2021-08-14 19:15:08,36.0345,-89.3856,88.88,66,1,4.61
126,Avarua,CK,2021-08-14 19:15:08,-21.2078,-159.775,69.85,83,75,4.61
127,Kayan,MM,2021-08-14 19:15:09,16.9056,96.5631,80.74,86,100,6.17
128,Torbay,CA,2021-08-14 19:15:09,47.6666,-52.7314,76.87,88,86,4.0
129,Rauma,FI,2021-08-14 19:15:10,61.1272,21.5113,60.84,78,100,15.77
130,Poronaysk,RU,2021-08-14 19:15:10,49.2167,143.1167,50.97,90,99,4.14
131,Hambantota,LK,2021-08-14 19:15:10,6.1241,81.1185,79.77,75,100,17.22
132,Port Lincoln,AU,2021-08-14 19:15:11,-34.7333,135.8667,51.3,60,0,8.25
133,Thompson,CA,2021-08-14 19:15:11,55.7435,-97.8558,81.1,36,100,10.0
134,Castro,BR,2021-08-14 19:10:33,-24.7911,-50.0119,63.64,74,69,3.15
135,Tasiilaq,GL,2021-08-14 19:11:27,65.6145,-37.6368,42.48,87,94,15.35
136,Sakaraha,MG,2021-08-14 19:15:12,-22.9,44.5333,56.97,66,0,11.01
137,Palmer,US,2021-08-14 19:13:17,42.1584,-72.3287,90.0,55,75,1.99
138,Kerrville,US,2021-08-14 19:15:12,30.0474,-99.1403,92.55,49,40,1.99
139,Le Port,RE,2021-08-14 19:15:12,-20.9373,55.2919,71.6,81,28,10.45
140,Emerald,AU,2021-08-14 19:15:13,-23.5333,148.1667,54.82,94,1,5.82
141,Butaritari,KI,2021-08-14 19:10:55,3.0707,172.7902,81.16,77,100,8.05
142,Port Keats,AU,2021-08-14 19:15:14,-14.25,129.55,75.54,65,64,4.72
143,Innisfail,AU,2021-08-14 19:11:44,-17.5333,146.0333,69.37,86,100,7.81
144,Olafsvik,IS,2021-08-14 19:15:14,64.8945,-23.7142,54.39,79,8,11.81
145,Colorado Springs,US,2021-08-14 19:14:36,38.8339,-104.8214,89.89,39,1,5.01
146,Kurumkan,RU,2021-08-14 19:15:15,54.3,110.3,60.51,69,23,3.44
147,Chernyshevskiy,RU,2021-08-14 19:15:15,63.0128,112.4714,52.81,98,100,3.98
148,Lavrentiya,RU,2021-08-14 19:11:41,65.5833,-171.0,49.37,86,100,8.48
149,Si Sa Ket,TH,2021-08-14 19:15:16,14.8333,104.3333,74.86,95,100,7.49
150,Flinders,AU,2021-08-14 19:15:16,-34.5833,150.8552,50.05,85,18,1.01
151,Hithadhoo,MV,2021-08-14 19:15:16,-0.6,73.0833,82.42,72,100,14.7
152,Saint George,US,2021-08-14 19:10:53,37.1041,-113.5841,98.8,29,1,3.0
153,Heinola,FI,2021-08-14 19:15:17,61.2056,26.0381,60.89,74,100,7.9
154,Jiwani,PK,2021-08-14 19:15:17,25.05,61.7417,79.45,84,100,8.95
155,Souillac,MU,2021-08-14 19:15:17,-20.5167,57.5167,71.98,78,75,16.11
156,Clyde River,CA,2021-08-14 19:12:20,70.4692,-68.5914,41.09,88,100,4.47
157,Hamilton,US,2021-08-14 19:14:45,39.1834,-84.5333,85.57,57,90,1.99
158,Sorland,NO,2021-08-14 19:12:23,67.667,12.6934,50.07,75,29,22.12
159,Kirovskiy,RU,2021-08-14 19:15:18,45.0917,133.5136,60.44,79,100,3.78
160,Umea,SE,2021-08-14 19:15:19,63.8284,20.2597,59.92,88,100,5.75
161,Pedro Juan Caballero,PY,2021-08-14 19:15:19,-22.5472,-55.7333,80.56,41,40,4.61
162,Wamba,NG,2021-08-14 19:15:19,8.9333,8.6,73.49,93,56,1.19
163,Pevek,RU,2021-08-14 19:15:20,69.7008,170.3133,35.67,97,100,16.98
164,Cabo San Lucas,MX,2021-08-14 19:15:20,22.8909,-109.9124,95.61,70,20,16.11
165,Mapimi,MX,2021-08-14 19:15:20,25.8167,-103.85,85.17,36,1,8.7
166,Airai,TL,2021-08-14 19:11:22,-8.9266,125.4092,54.21,77,4,3.4
167,East London,ZA,2021-08-14 19:13:59,-33.0153,27.9116,58.8,71,100,9.8
168,Novo Aripuana,BR,2021-08-14 19:15:21,-5.1206,-60.3797,90.72,42,100,2.53
169,Hit,IQ,2021-08-14 19:15:21,33.6416,42.8251,94.96,20,0,9.95
170,Eydhafushi,MV,2021-08-14 19:15:22,5.1033,73.0708,82.15,76,100,17.34
