City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
111,Fortuna,US,40.5982,-124.1573,69.93,69,90,1.99,overcast clouds,0.0,0
112,Abilene,US,32.4487,-99.7331,91.62,44,1,1.01,clear sky,0.0,0
113,Bubaque,GW,11.2833,-15.8333,78.4,82,100,9.4,moderate rain,1.09,0
114,Aljezur,PT,37.3191,-8.8033,69.6,47,0,10.69,clear sky,0.0,0
115,West Odessa,US,31.8424,-102.4988,85.05,52,1,8.05,clear sky,0.0,0
116,Nikolskoye,RU,59.7035,30.7861,59.02,85,31,10.42,scattered clouds,0.0,0
117,Provideniya,RU,64.3833,-173.3,44.71,81,90,13.42,light rain,0.0,0
118,Laguna,US,38.421,-121.4238,105.13,31,1,6.91,haze,0.0,0
119,Am Timan,TD,11.0297,20.2827,72.32,94,47,3.2,light rain,0.27,0
120,Egvekinot,RU,66.3167,-179.1667,46.94,62,87,5.57,overcast clouds,0.0,0
121,Castro,BR,-24.7911,-50.0119,59.23,88,31,3.11,scattered clouds,0.0,0
122,Bengkulu,ID,-3.8004,102.2655,74.8,87,69,4.27,broken clouds,0.0,0
123,Ugoofaaru,MV,5.6667,73.0,81.32,76,100,14.03,overcast clouds,0.0,0
124,Niwari,IN,28.8833,77.5333,94.23,64,35,1.88,scattered clouds,0.0,0
125,Singapore,SG,1.2897,103.8501,78.75,92,75,2.3,broken clouds,0.0,0
126,Chulym,RU,55.0997,80.9572,57.52,86,82,5.93,broken clouds,0.0,0
127,Taoudenni,ML,22.6783,-3.9836,101.5,10,79,2.77,broken clouds,0.0,0
128,Danville,US,36.586,-79.395,77.38,91,75,0.0,broken clouds,0.0,0
129,Santa Marta,CO,11.2408,-74.199,81.99,87,75,5.01,broken clouds,0.0,0
130,Winslow,US,35.0242,-110.6974,95.97,21,1,1.01,clear sky,0.0,0
131,Torbay,CA,47.6666,-52.7314,70.75,93,20,12.66,few clouds,0.0,0
132,Rawson,AR,-43.3002,-65.1023,59.02,30,98,17.74,overcast clouds,0.0,0
133,Havoysund,NO,70.9963,24.6622,43.68,82,100,9.55,overcast clouds,0.0,0
134,Nanortalik,GL,60.1432,-45.2371,48.76,98,100,12.03,light rain,1.0,0
135,Corinto,GR,37.9407,22.9573,78.64,43,0,2.57,clear sky,0.0,0
136,Saint George,US,37.1041,-113.5841,105.64,20,1,5.01,clear sky,0.0,0
137,Aksarka,RU,66.5606,67.7975,46.98,86,14,11.48,few clouds,0.0,0
138,Warri,NG,5.5167,5.75,75.74,88,78,4.34,broken clouds,0.0,0
139,Westport,US,41.1415,-73.3579,77.05,57,1,1.99,clear sky,0.0,0
140,East London,ZA,-33.0153,27.9116,58.62,72,0,10.38,clear sky,0.0,0
141,Seoul,KR,37.5683,126.9778,80.17,57,0,10.36,clear sky,0.0,0
142,Prince Rupert,CA,54.3161,-130.3201,59.09,74,40,8.05,light rain,0.35,0
143,Kathu,TH,7.9178,98.3332,76.82,76,100,0.36,overcast clouds,0.0,0
144,Lago Da Pedra,BR,-4.3333,-45.1667,77.49,41,18,2.39,few clouds,0.0,0
145,Birjand,IR,32.8663,59.2211,66.67,13,0,13.8,clear sky,0.0,0
146,Carballo,ES,43.213,-8.691,62.91,90,15,6.17,few clouds,0.0,0
147,Mosquera,CO,4.7059,-74.2302,53.87,87,63,2.62,broken clouds,0.0,0
148,Neuquen,AR,-38.9516,-68.0591,49.89,62,0,4.61,clear sky,0.1,0
149,Ivanjica,RS,43.5803,20.2311,72.88,49,0,5.32,clear sky,0.0,0
150,Port-Gentil,GA,-0.7193,8.7815,76.62,84,84,13.31,broken clouds,0.0,0
151,Black River,JM,18.0264,-77.8487,77.99,76,64,1.66,broken clouds,0.0,0
152,Octeville,FR,49.6261,-1.6435,61.92,94,90,12.66,light rain,0.14,0
153,Lavrentiya,RU,65.5833,-171.0,42.33,87,100,5.82,overcast clouds,0.0,0
154,Fairbanks,US,64.8378,-147.7164,52.61,93,90,1.01,moderate rain,1.1,0
155,Lakes Entrance,AU,-37.8811,147.981,61.57,55,31,21.68,scattered clouds,0.0,0
