City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Vidalia,US,82.71,clear sky,32.2177,-82.4135,Quality Inn & Suites
279,Ribeira Grande,PT,72.73,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
280,Curumani,CO,80.46,broken clouds,9.1999,-73.5427,Hotel Mayumir
282,Pozo Colorado,PY,67.8,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
285,Takoradi,GH,75.07,scattered clouds,4.8845,-1.7554,Raybow International Hotel
287,San Fernando,PH,82.15,broken clouds,15.0286,120.6898,Maharlika Hostel
288,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
289,Aksu,CN,68.05,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
290,Shubarkuduk,KZ,73.67,clear sky,49.1447,56.4872,Sirius
292,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
293,Ibaiti,BR,66.97,broken clouds,-23.8486,-50.1878,Hotel Moraes
297,Alta Floresta,BR,84.07,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
308,Rosetta,EG,78.8,clear sky,31.4044,30.4164,Green Valley
313,Keti Bandar,PK,79.54,overcast clouds,24.1447,67.4497,Haji laloo memon house
316,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
320,Sao Filipe,CV,77.14,overcast clouds,14.8961,-24.4956,Hotel Xaguate
323,Hami,CN,77.13,overcast clouds,42.8,93.45,Laoyutang Resort
326,Luba,GQ,76.89,overcast clouds,3.4568,8.5547,
327,Brufut,GM,78.89,scattered clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
328,Kalemie,CD,72.16,few clouds,-5.9475,29.1947,Mahobilali
329,Puerto Madero,MX,80.8,broken clouds,14.7208,-92.4215,Hotel La Central
331,Slany,CZ,71.71,clear sky,50.2305,14.0869,"Hejtmanský dvůr - hotel, restaurace a wellness"
333,Vao,NC,68.49,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
334,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
335,San Bartolome De Tirajana,ES,68.47,clear sky,27.9248,-15.5733,Las Tirajanas
336,Mayumba,GA,73.49,broken clouds,-3.432,10.6554,LIKWALE LODGE
340,Santarem,BR,77.13,few clouds,-2.4431,-54.7083,Ecotur Lodge
341,Novobureyskiy,RU,66.99,clear sky,49.798,129.8774,-
343,Shelburne,CA,72.75,clear sky,44.0787,-80.2041,The Retreat at the Farm
344,San Quintin,MX,74.62,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
345,Lishan,CN,73.02,overcast clouds,31.8576,113.2951,Hongdu Hotel
347,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
348,Aripuana,BR,82.36,clear sky,-9.1667,-60.6333,
349,Puerto Rico,AR,71.11,broken clouds,-26.796,-55.024,Hotel Cabañas del Prado
